Quantity,Designator,Value,Footprint,Remarks
3,"C1,C2,C3",100nF,C0402,-
3,"C4,C5,C6",1uF,C0402,-
1,LED1,Red,0603,-
1,LED2,Green,0603,-
1,LED3,LED 5mm RGB,5MM RGB TRI-COLOR LED 1.25MM PINS,Common anode LED
3,"R1,R2,R11",1k,R0402,-
3,"R4,R5,R6",5k1,R0402,-
2,"R9,R10",10k,R0402,-
2,"R7,R12",634R,R0402,-
1,R3,470R,R0402,-
1,R8,2k7,R0402,-
1,U1,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,-
1,U2,S-8261ABJMD-G3JT2G,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-TL,-
1,Q1,FS8205A,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,-
2,"U4,U5",A3144EUA-T-JSM,TO-92S-3_L4.1-W1.7-P1.27-L,-
1,U3,SN74LVC1G38DCKR,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BL,-
1,U6,REG71050DRVR,WSON-6_L2.0-W2.0-P0.65-TL-EP,-
1,USB1,HC-TYPE-C-6P-01A,USB-C-SMD_HC-TYPE-C-6P-01A,-
1,CN1,"B2B-PH-K-S(LF)(SN)",CONN-TH_B2B-PH-K-S,optional in the current version of the case the connector does not fit
